Kurs Jual,Kurs Beli,Tanggal
12979.69,12847.03,2021-08-09
13024.67,12892.72,2021-07-09
13034.11,12902.07,2021-06-09
13048.83,12917.82,2021-03-09
13008.99,12876.05,2021-02-09
13083.57,12951.02,2021-01-09
13154.13,13019.69,2021-31-08
13172.72,13039.28,2021-30-08
13158.24,13023.77,2021-27-08
13196.06,13061.19,2021-26-08
13174.49,13042.22,2021-25-08
13176.06,13043.77,2021-24-08
13253.39,13117.93,2021-23-08
13220.84,13088.09,2021-20-08
13187.3,13053.7,2021-19-08
13223.79,13088.61,2021-18-08
13113.21,12981.56,2021-16-08
